"","ZNF341","SYNE1","MR1","RIMKLA","PSRC1","STC2","WNK2","THOC6","DCTN5","SLC9A9","RC3H2","SIVA1","GLYR1","SGPP1","TSC22D3","PIK3AP1","ACTG1","ENTPD6","DCTN4","NDUFAF4","PCYOX1L","ADAP2","SMC4","SLC35D2","PLEKHH2","KIF3B","ZBED1","SLC25A26","CLDN15","PCDHB2","FAM107A","SEMA4G","TMPRSS5","GLRX2","VCAN","MNAT1","AGPS","IMMP1L","GATAD2B","B4GALT7","KIF3A","IP6K2","HDAC7","UGT3A2","GPATCH2","LRCH3","CTNNBL1","MTRF1","FGD4","SMARCE1","NPL","DGKE","PRG2","PLXNC1","CBX3","CLCF1","DCAF15","COG6","TRMT6","CRISPLD2","EVL","DKK2","ZFPM2","C6orf120","NFIX","RBM24","TRPS1","RTTN","TRERF1","APOO","YBX2","DYNC2LI1","BAZ1B","RAB6B","IL17RC","FITM2","SLCO4A1","INTS4","HACL1","CDKN2B","PXK","CYGB","MARS2","SSBP2","TSC1","CACNA1B","WDR19","ZNF135","SIRT6","CADPS2","DPP3","ELOVL1","AKT2","MPHOSPH8","RNF31","SFXN4","MDGA2","RANBP17","BTBD6","MLLT10"
"ZNF341",0,0.953,0.951,0.777,0.176,0.637,0.813,0.731,0.956,0.966,0.478,0.894,0.214,0.775,0,0.902,0.658,0.782,0.956,0.974,0.852,0.884,0.96,0.779,0.94,0.937,0.214,0.977,0.916,0.916,0.764,0.884,0.824,0,0.729,0.0610000000000001,0.797,0.843,0.236,0.733,0.937,0.854,0.763,0.973,0.868,0.966,0.742,0.489,0.86,0.0610000000000001,0.914,0.833,0.969,0.864,0.206,0.798,0.853,0.908,0.719,0.969,0.86,0.926,0.206,0.969,0.214,0.539,0.236,0.945,0.0610000000000001,0.968,0.365,0.918,0.0610000000000001,0.951,0.915,0.641,0.985,0.451,0.848,0.214,0.893,0.879,0.62,0,0.403,0.893,0.962,0.0610000000000001,0.236,0.91,0.824,0.775,0.631,0.206,0.142,0.94,0.966,0.969,0.815,0.214
"SYNE1",0.953,0,0.87,0.927,0.76,0.907,0.905,0.874,0.885,0.922,0.921,0.893,0.911,0.85,0.861,0.905,0.797,0.933,0.885,0.65,0.886,0.842,0.767,0.813,0.835,0.793,0.959,0.932,0.783,0.785,0.803,0.842,0.945,0.8,0.736,0.871,0.828,0.747,0.719,0.784,0.674,0.866,0.888,0.94,0.942,0.45,0.892,0.896,0.687,0.697,0.937,0.876,0.913,0.814,0.725,0.858,0.918,0.854,0.933,0.869,0.734,0.938,0.777,0.913,0.947,0.792,0.847,0.675,0.889,0.656,0.918,0.788,0.735,0.819,0.915,0.664,0.954,0.941,0.836,0.847,0.897,0.927,0.953,0.958,0.888,0.91,0.711,0.617,0.878,0.869,0.945,0.92,0.84,0.928,0.888,0.829,0.636,0.828,0.758,0.959
"MR1",0.951,0.87,0,0.94,0.921,0.933,0.892,0.878,0.807,0.926,0.85,0.823,0.966,0.898,0.919,0.815,0.862,0.945,0.807,0.93,0.942,0.816,0.948,0.79,0.955,0.852,0.944,0.903,0.88,0.834,0.887,0.837,0.9,0.751,0.82,0.92,0.939,0.773,0.943,0.916,0.854,0.842,0.903,0.893,0.952,0.898,0.843,0.965,0.873,0.936,0.954,0.866,0.737,0.88,0.859,0.774,0.873,0.88,0.956,0.858,0.843,0.914,0.827,0.737,0.958,0.868,0.849,0.927,0.929,0.939,0.925,0.957,0.868,0.919,0.851,0.914,0.91,0.959,0.94,0.834,0.812,0.792,0.97,0.964,0.899,0.888,0.94,0.918,0.924,0.91,0.9,0.943,0.868,0.942,0.843,0.884,0.695,0.96,0.85,0.944
"RIMKLA",0.777,0.927,0.94,0,0.806,0.621,0.742,0.809,0.933,0.955,0.76,0.937,0.806,0.493,0.777,0.94,0.883,0.759,0.933,0.958,0.769,0.929,0.942,0.542,0.969,0.9,0.806,0.96,0.868,0.868,0.82,0.929,0.67,0.71,0.509,0.7,0.633,0.818,0.813,0.621,0.9,0.706,0.744,0.962,0.921,0.943,0.819,0.666,0.908,0.776,0.739,0.709,0.957,0.868,0.815,0.874,0.749,0.844,0.8,0.957,0.915,0.959,0.806,0.957,0.7,0.758,0.813,0.918,0.776,0.947,0.7,0.959,0.776,0.922,0.951,0.631,0.973,0.727,0.573,0.806,0.945,0.924,0.518,0.777,0.713,0.945,0.939,0.776,0.715,0.914,0.67,0.463,0.69,0.815,0.76,0.908,0.95,0.955,0.715,0.806
"PSRC1",0.176,0.76,0.921,0.806,0,0.789,0.767,0.845,0.896,0.922,0.795,0.781,0.652,0.849,0.707,0.84,0.778,0.809,0.896,0.755,0.863,0.861,0.653,0.843,0.73,0.708,0.069,0.938,0.848,0.855,0.633,0.838,0.789,0.747,0.794,0.588,0.857,0.842,0.704,0.723,0.733,0.716,0.824,0.938,0.78,0.451,0.855,0.78,0.712,0.633,0.924,0.83,0.843,0.794,0.659,0.78,0.854,0.87,0.875,0.928,0.694,0.869,0.711,0.843,0.633,0.742,0.787,0.654,0.591,0.822,0.764,0.804,0.652,0.871,0.818,0.718,0.919,0.831,0.874,0.622,0.871,0.901,0.851,0.636,0.733,0.888,0.813,0.582,0.71,0.851,0.789,0.878,0.724,0.703,0.75,0.83,0.917,0.916,0.856,0.069
"STC2",0.637,0.907,0.933,0.621,0.789,0,0.666,0.83,0.929,0.86,0.575,0.824,0.742,0.768,0.749,0.867,0.834,0.731,0.929,0.931,0.71,0.88,0.934,0.777,0.892,0.911,0.705,0.956,0.861,0.875,0.807,0.892,0.339,0.755,0.608,0.694,0.805,0.741,0.765,0.544,0.91,0.816,0.6,0.945,0.774,0.904,0.816,0.672,0.853,0.767,0.828,0.732,0.939,0.834,0.785,0.827,0.582,0.839,0.735,0.95,0.884,0.913,0.811,0.939,0.686,0.739,0.791,0.907,0.658,0.935,0.614,0.928,0.622,0.905,0.857,0.767,0.964,0.752,0.775,0.786,0.86,0.873,0.685,0.735,0.791,0.901,0.933,0.772,0.603,0.886,0.339,0.752,0.741,0.615,0.657,0.862,0.928,0.95,0.536,0.705
"WNK2",0.813,0.905,0.892,0.742,0.767,0.666,0,0.848,0.896,0.723,0.732,0.373,0.865,0.809,0.776,0.643,0.78,0.823,0.896,0.904,0.83,0.73,0.937,0.834,0.794,0.882,0.857,0.848,0.862,0.855,0.732,0.764,0.552,0.699,0.739,0.783,0.886,0.812,0.895,0.615,0.875,0.725,0.682,0.848,0.74,0.868,0.85,0.851,0.709,0.879,0.887,0.644,0.895,0.755,0.805,0.637,0.731,0.856,0.875,0.928,0.763,0.673,0.834,0.895,0.863,0.791,0.808,0.91,0.757,0.936,0.825,0.902,0.726,0.877,0.485,0.801,0.786,0.907,0.864,0.602,0.678,0.874,0.876,0.882,0.672,0.763,0.918,0.87,0.681,0.812,0.552,0.87,0.576,0.839,0.58,0.743,0.907,0.925,0.763,0.857
"THOC6",0.731,0.874,0.878,0.809,0.845,0.83,0.848,0,0.832,0.875,0.812,0.635,0.905,0.767,0.817,0.891,0.843,0.692,0.832,0.95,0.834,0.786,0.946,0.814,0.872,0.819,0.781,0.857,0.881,0.704,0.868,0.854,0.704,0.776,0.66,0.741,0.807,0.743,0.894,0.817,0.809,0.803,0.846,0.957,0.855,0.929,0.596,0.896,0.814,0.879,0.9,0.835,0.816,0.808,0.861,0.76,0.887,0.783,0.784,0.856,0.751,0.925,0.754,0.816,0.826,0.808,0.71,0.922,0.856,0.949,0.804,0.828,0.862,0.738,0.868,0.866,0.774,0.793,0.81,0.802,0.885,0.889,0.857,0.869,0.782,0.904,0.838,0.844,0.839,0.862,0.704,0.884,0.748,0.839,0.836,0.745,0.466,0.699,0.747,0.781
"DCTN5",0.956,0.885,0.807,0.933,0.896,0.929,0.896,0.832,0,0.786,0.941,0.904,0.97,0.835,0.79,0.922,0.912,0.938,0,0.928,0.704,0.921,0.928,0.861,0.956,0.606,0.962,0.742,0.863,0.881,0.92,0.919,0.952,0.901,0.9,0.935,0.823,0.766,0.935,0.919,0.646,0.92,0.943,0.944,0.947,0.9,0.907,0.96,0.907,0.93,0.942,0.902,0.675,0.894,0.911,0.92,0.924,0.442,0.944,0.809,0.923,0.949,0.935,0.675,0.956,0.94,0.944,0.902,0.951,0.925,0.95,0.807,0.923,0.504,0.924,0.904,0.76,0.948,0.845,0.91,0.887,0.86,0.959,0.964,0.913,0.886,0.817,0.927,0.945,0.701,0.952,0.933,0.873,0.962,0.901,0.631,0.926,0.706,0.917,0.962
"SLC9A9",0.966,0.922,0.926,0.955,0.922,0.86,0.723,0.875,0.786,0,0.957,0.919,0.978,0.88,0.574,0.936,0.906,0.958,0.786,0.958,0.808,0.922,0.944,0.829,0.96,0.82,0.976,0.484,0.874,0.886,0.911,0.925,0.933,0.873,0.9,0.955,0.887,0.786,0.951,0.928,0.812,0.936,0.952,0.962,0.961,0.938,0.943,0.97,0.904,0.946,0.961,0.913,0.805,0.883,0.927,0.932,0.949,0.73,0.959,0.881,0.927,0.959,0.93,0.805,0.968,0.944,0.945,0.918,0.962,0.947,0.936,0.885,0.934,0.698,0.943,0.861,0.402,0.967,0.898,0.926,0.76,0.808,0.972,0.972,0.917,0.735,0.891,0.935,0.946,0.745,0.933,0.952,0.889,0.964,0.928,0.549,0.949,0.84,0.933,0.976
