"","ZNF341","SYNE1","MR1","RIMKLA","PSRC1","STC2","WNK2","THOC6","DCTN5","SLC9A9","RC3H2","SIVA1","GLYR1","SGPP1","TSC22D3","PIK3AP1","ACTG1","ENTPD6","DCTN4","NDUFAF4","PCYOX1L","ADAP2","SMC4","SLC35D2","PLEKHH2","KIF3B","ZBED1","SLC25A26","CLDN15","PCDHB2","FAM107A","SEMA4G","TMPRSS5","GLRX2","VCAN","MNAT1","AGPS","IMMP1L","GATAD2B","B4GALT7","KIF3A","IP6K2","HDAC7","UGT3A2","GPATCH2","LRCH3","CTNNBL1","MTRF1","FGD4","SMARCE1","NPL","DGKE","PRG2","PLXNC1","CBX3","CLCF1","DCAF15","COG6","TRMT6","CRISPLD2","EVL","DKK2","ZFPM2","C6orf120","NFIX","RBM24","TRPS1","RTTN","TRERF1","APOO","YBX2","DYNC2LI1","BAZ1B","RAB6B","IL17RC","FITM2","SLCO4A1","INTS4","HACL1","CDKN2B","PXK","CYGB","MARS2","SSBP2","TSC1","CACNA1B","WDR19","ZNF135","SIRT6","CADPS2","DPP3","ELOVL1","AKT2","MPHOSPH8","RNF31","SFXN4","MDGA2","RANBP17","BTBD6","MLLT10"
"ZNF341",0,0.4485,0.3105,0.285,0.4445,0.4185,0.4355,0.379,0.3965,0.4545,0.5505,0.633,0.378,0.7415,0.326,0.2855,0.7105,0.573,0.7025,0.5385,0.4985,0.5095,0.5675,0.4435,0.5525,0.6005,0.6245,0.3225,0.366,0.4545,0.559,0.5575,0.411,0.547,0.444,0.4685,0.5125,0.653,0.391,0.339,0.656,0.6055,0.5135,0.3085,0.5915,0.6365,0.392,0.5665,0.3885,0.5455,0.4005,0.469,0.341,0.4595,0.5165,0.2965,0.3475,0.666,0.409,0.6125,0.413,0.3905,0.5035,0.7,0.3435,0.5085,0.5,0.431,0.505,0.5415,0.3865,0.688,0.4725,0.364,0.522,0.5635,0.374,0.5255,0.666,0.526,0.635,0.467,0.4845,0.443,0.2615,0.3275,0.5875,0.4625,0.316,0.708,0.574,0.598,0.32,0.6805,0.5495,0.634,0.5695,0.5615,0.662,0.593
"SYNE1",0.4485,0,0.447,0.3915,0.432,0.4785,0.538,0.555,0.4045,0.397,0.503,0.5775,0.486,0.566,0.3805,0.3395,0.5225,0.587,0.5995,0.4555,0.5155,0.577,0.5595,0.4645,0.5245,0.579,0.5915,0.388,0.4405,0.4895,0.3475,0.4155,0.4795,0.54,0.576,0.504,0.487,0.603,0.4005,0.459,0.6485,0.632,0.5705,0.455,0.477,0.473,0.4405,0.5605,0.408,0.494,0.403,0.4955,0.4515,0.4175,0.614,0.3875,0.4365,0.536,0.565,0.446,0.589,0.464,0.482,0.5795,0.378,0.495,0.4665,0.424,0.4445,0.515,0.408,0.534,0.537,0.3915,0.415,0.388,0.463,0.504,0.505,0.4595,0.4965,0.415,0.4565,0.432,0.468,0.428,0.549,0.406,0.437,0.5625,0.6875,0.5365,0.4605,0.44,0.562,0.6135,0.571,0.5485,0.536,0.5435
"MR1",0.3105,0.447,0,0.298,0.5415,0.54,0.3575,0.3925,0.526,0.494,0.4805,0.608,0.5555,0.6845,0.3545,0.395,0.6135,0.5175,0.619,0.528,0.587,0.564,0.521,0.38,0.5195,0.7235,0.6475,0.4035,0.4095,0.417,0.531,0.5575,0.3595,0.5355,0.518,0.3565,0.529,0.535,0.5025,0.263,0.603,0.562,0.573,0.3005,0.502,0.6515,0.584,0.457,0.487,0.477,0.4525,0.467,0.2815,0.5,0.503,0.2575,0.2715,0.5085,0.5215,0.6365,0.456,0.282,0.552,0.6905,0.3915,0.543,0.444,0.381,0.5825,0.3995,0.2925,0.685,0.5745,0.4315,0.4035,0.586,0.2665,0.5005,0.5565,0.5035,0.714,0.5125,0.4785,0.3855,0.365,0.416,0.645,0.3715,0.448,0.558,0.6115,0.589,0.345,0.6755,0.313,0.511,0.547,0.409,0.638,0.444
"RIMKLA",0.285,0.3915,0.298,0,0.4635,0.4445,0.331,0.4495,0.4675,0.5735,0.526,0.6705,0.4025,0.681,0.314,0.432,0.7015,0.5285,0.7335,0.4715,0.5225,0.508,0.437,0.376,0.5085,0.658,0.6865,0.349,0.4185,0.336,0.5635,0.577,0.291,0.584,0.482,0.4575,0.6855,0.583,0.501,0.4555,0.679,0.5955,0.4675,0.343,0.431,0.663,0.4675,0.584,0.4375,0.485,0.435,0.43,0.3975,0.281,0.383,0.3055,0.425,0.593,0.391,0.6265,0.328,0.3,0.5915,0.7565,0.3065,0.5835,0.5135,0.351,0.5485,0.552,0.417,0.7335,0.4335,0.4915,0.5465,0.621,0.4425,0.499,0.6675,0.4515,0.6005,0.506,0.423,0.5025,0.3295,0.3345,0.607,0.509,0.411,0.612,0.614,0.657,0.321,0.679,0.4015,0.6355,0.6595,0.394,0.6065,0.554
"PSRC1",0.4445,0.432,0.5415,0.4635,0,0.342,0.532,0.622,0.3455,0.414,0.627,0.5795,0.3665,0.653,0.4585,0.34,0.5795,0.6445,0.605,0.545,0.424,0.5415,0.428,0.6035,0.5245,0.455,0.6995,0.3775,0.4395,0.4665,0.434,0.466,0.42,0.507,0.412,0.537,0.505,0.5405,0.3215,0.514,0.536,0.476,0.43,0.493,0.599,0.4565,0.3735,0.564,0.4225,0.5765,0.46,0.434,0.5325,0.3985,0.517,0.406,0.5275,0.5865,0.518,0.5065,0.425,0.496,0.479,0.665,0.301,0.502,0.506,0.552,0.4365,0.578,0.52,0.5725,0.3575,0.368,0.4985,0.5565,0.619,0.464,0.617,0.5025,0.402,0.492,0.3785,0.5275,0.4415,0.3525,0.52,0.4235,0.402,0.533,0.4865,0.503,0.4935,0.49,0.66,0.638,0.525,0.5475,0.5645,0.5635
"STC2",0.4185,0.4785,0.54,0.4445,0.342,0,0.516,0.5055,0.337,0.4665,0.551,0.5355,0.3595,0.535,0.457,0.361,0.6375,0.6395,0.569,0.555,0.396,0.3935,0.489,0.5565,0.6145,0.439,0.5875,0.3425,0.4125,0.4405,0.4335,0.5235,0.3805,0.5215,0.3525,0.6105,0.5195,0.585,0.4045,0.5105,0.5315,0.55,0.419,0.4605,0.583,0.3985,0.3265,0.5715,0.354,0.4965,0.5485,0.516,0.5715,0.3925,0.4375,0.456,0.526,0.614,0.3825,0.494,0.3345,0.4965,0.3785,0.561,0.3735,0.4115,0.595,0.4735,0.4205,0.4935,0.492,0.652,0.377,0.4325,0.579,0.5695,0.6265,0.535,0.6095,0.3725,0.4335,0.452,0.447,0.575,0.385,0.3625,0.452,0.478,0.373,0.567,0.448,0.5055,0.4585,0.508,0.641,0.6915,0.5345,0.5695,0.4565,0.5965
"WNK2",0.4355,0.538,0.3575,0.331,0.532,0.516,0,0.426,0.4695,0.588,0.5195,0.5445,0.542,0.612,0.4705,0.474,0.5535,0.4985,0.5305,0.551,0.4565,0.488,0.4625,0.4895,0.5465,0.5875,0.5535,0.347,0.3705,0.4075,0.6355,0.593,0.3675,0.614,0.5085,0.5555,0.5735,0.5365,0.492,0.4655,0.617,0.4855,0.453,0.339,0.4865,0.6015,0.487,0.507,0.502,0.4565,0.5095,0.4695,0.561,0.371,0.4305,0.3445,0.4665,0.572,0.427,0.5985,0.4265,0.3725,0.593,0.6425,0.327,0.5445,0.573,0.4305,0.606,0.4855,0.4265,0.6355,0.4445,0.561,0.54,0.6745,0.4705,0.409,0.624,0.4165,0.5925,0.4995,0.4255,0.5705,0.457,0.364,0.5305,0.4885,0.516,0.461,0.446,0.602,0.409,0.581,0.316,0.511,0.674,0.4785,0.482,0.618
"THOC6",0.379,0.555,0.3925,0.4495,0.622,0.5055,0.426,0,0.631,0.5515,0.4715,0.467,0.4635,0.489,0.477,0.4605,0.506,0.4175,0.5035,0.4045,0.611,0.487,0.4155,0.359,0.4555,0.5815,0.3945,0.5585,0.4995,0.4555,0.5425,0.619,0.4975,0.538,0.508,0.337,0.535,0.446,0.5565,0.4055,0.423,0.465,0.389,0.461,0.461,0.5765,0.6235,0.426,0.5575,0.4775,0.535,0.409,0.3145,0.64,0.4525,0.482,0.373,0.4415,0.4115,0.5655,0.379,0.389,0.4305,0.497,0.5515,0.491,0.4795,0.4925,0.6405,0.4645,0.52,0.5635,0.4585,0.5795,0.489,0.5695,0.3665,0.439,0.506,0.486,0.689,0.479,0.599,0.4425,0.4495,0.482,0.5235,0.572,0.499,0.5845,0.5275,0.5025,0.4305,0.604,0.344,0.4115,0.444,0.4875,0.6205,0.3975
"DCTN5",0.3965,0.4045,0.526,0.4675,0.3455,0.337,0.4695,0.631,0,0.3885,0.647,0.671,0.3605,0.693,0.432,0.403,0.5715,0.67,0.6615,0.677,0.3685,0.5725,0.653,0.733,0.675,0.456,0.6605,0.295,0.3875,0.4915,0.4835,0.509,0.449,0.531,0.493,0.706,0.382,0.6025,0.265,0.4985,0.6315,0.6085,0.583,0.374,0.589,0.4705,0.1595,0.6815,0.2525,0.393,0.448,0.6015,0.6145,0.302,0.543,0.4635,0.586,0.6755,0.5365,0.57,0.49,0.5605,0.4785,0.598,0.3235,0.483,0.623,0.547,0.2455,0.5895,0.4005,0.543,0.408,0.2445,0.514,0.535,0.6945,0.519,0.6445,0.4975,0.4025,0.537,0.249,0.621,0.2765,0.329,0.5555,0.3265,0.3495,0.5405,0.555,0.546,0.533,0.4955,0.685,0.7055,0.5205,0.6045,0.5015,0.671
"SLC9A9",0.4545,0.397,0.494,0.5735,0.414,0.4665,0.588,0.5515,0.3885,0,0.521,0.533,0.5015,0.5695,0.5065,0.385,0.5945,0.6355,0.5465,0.4905,0.5055,0.5595,0.5925,0.5415,0.4875,0.5945,0.5615,0.438,0.452,0.61,0.4335,0.4885,0.5635,0.4985,0.5055,0.476,0.36,0.558,0.359,0.396,0.5545,0.5975,0.491,0.441,0.637,0.442,0.3815,0.51,0.3995,0.545,0.4405,0.4695,0.479,0.5675,0.622,0.5205,0.5165,0.5615,0.5635,0.464,0.558,0.556,0.4475,0.54,0.456,0.4,0.455,0.5715,0.347,0.5125,0.419,0.4185,0.475,0.364,0.5335,0.484,0.5075,0.4535,0.5255,0.5715,0.4665,0.564,0.4825,0.4545,0.4235,0.425,0.4585,0.38,0.444,0.5865,0.575,0.4905,0.555,0.417,0.6605,0.6145,0.389,0.638,0.588,0.5255
